#gbff	R	G	B	Domain	Phylum\superphylum
GCA_003662835.1_ASM366283v1	194	10	76	Archaea	Asgard group
GCA_019056875.1_ASM1905687v1	194	10	76	Archaea	Asgard group
GCA_019057485.1_ASM1905748v1	194	10	76	Archaea	Asgard group
GCA_019057675.1_ASM1905767v1	194	10	76	Archaea	Asgard group
GCA_019057695.1_ASM1905769v1	194	10	76	Archaea	Asgard group
GCA_019057715.1_ASM1905771v1	194	10	76	Archaea	Asgard group
GCA_018383815.1_ASM1838381v1	194	10	76	Archaea	Asgard group
GCA_019056805.1_ASM1905680v1	194	10	76	Archaea	Asgard group
GCA_016840515.1_ASM1684051v1	194	10	76	Archaea	Asgard group
GCA_019057385.1_ASM1905738v1	194	10	76	Archaea	Asgard group
GCA_019056845.1_ASM1905684v1	194	10	76	Archaea	Asgard group
GCA_030616295.1_ASM3061629v1	194	10	76	Archaea	Asgard group
GCA_030587405.1_ASM3058740v1	194	10	76	Archaea	Asgard group
GCA_030587365.1_ASM3058736v1	194	10	76	Archaea	Asgard group
GCA_016840905.1_ASM1684090v1	194	10	76	Archaea	Asgard group
GCA_021513695.1_ASM2151369v1	194	10	76	Archaea	Asgard group
GCA_021513715.1_ASM2151371v1	194	10	76	Archaea	Asgard group
GCA_022574115.1_ASM2257411v1	194	10	76	Archaea	Asgard group
GCA_005191425.1_ASM519142v1	194	10	76	Archaea	Asgard group
GCA_019058315.1_ASM1905831v1	194	10	76	Archaea	Asgard group
GCA_016840405.1_ASM1684040v1	194	10	76	Archaea	Asgard group
GCA_030587465.1_ASM3058746v1	194	10	76	Archaea	Asgard group
GCA_016839515.1_ASM1683951v1	194	10	76	Archaea	Asgard group
GCA_030018135.1_ASM3001813v1	194	10	76	Archaea	Asgard group
GCA_016839665.1_ASM1683966v1	194	10	76	Archaea	Asgard group
GCA_016839545.1_ASM1683954v1	194	10	76	Archaea	Asgard group
GCA_021498095.1_ASM2149809v1	194	10	76	Archaea	Asgard group
GCA_008000775.1_ASM800077v1	194	10	76	Archaea	Asgard group
GCA_030611625.1_ASM3061162v1	194	10	76	Archaea	Asgard group
GCA_025839675.1_ASM2583967v1	194	10	76	Archaea	Asgard group
GCA_008080735.1_ASM808073v1	194	10	76	Archaea	Asgard group
GCA_005222975.1_ASM522297v1	194	10	76	Archaea	Asgard group
GCA_005223125.1_ASM522312v1	194	10	76	Archaea	Asgard group
GCA_029856705.1_ASM2985670v1	194	10	76	Archaea	Asgard group
